n-gram,size
paewai,1
paki,1
pene,1
peneha,1
perano,1
pinero,1
punga,1
puree,1
raekura,1
raetihi,1
raiha,1
rangimoekau,1
rapahoe,1
raukumara,1
reiterate,1
rihia,1
ropata,1
rotoroa,1
tahunanui,1
tamahori,1
tangiora,1
taputeranga,1
tatua,1
tawera nikau,2
tawhai,1
te maramatanga,2
te marua,2
te mata,2
te moana,2
timu,1
toime,1
tomeu,1
totaranui,1
tuapeka,1
tutekawa,1
ure,1
waianiwa,1
waikoikoi,1
waiwhetu,1
wanaka wanaka,2
wharewaka,1
whenuapai,1
whinge,1
kinita,1
koauau,1
maroto,1
merania karauria,2
ori,1
paratene,1
rerekura,1
te matau,2
te whaanau maarama,3
tukiwaho,1
whanganui maori,2
kete,1
papatuanuku,1
pehiaweri marae,2
pihema,1
erima henare,2
ngahiwi tomoana,2
ngaiterangi,1
tama-te-kapua,1
te aranga,2
te kura o te koutu,5
te reo i te hapori,5
te reo i te kainga,5
kopa,1
papawai marae,2
tama huata,2
parihaka,1
ranginui,1
tautoko,1
anika,1
huhana,1
ngati raukawa,2
whaikorero,1
kaeo,1
kaiwaka,1
mako,1
otane,1
apirana ngata,2
pewhairangi,1
te huinga reo,3
tipuna,1
ara,1
awhi,1
epitome,1
nikora,1
papawai,1
rahui katene,2
rongo,1
imitate,1
kaiwhakahaere,1
nanaia mahuta,2
tairawhiti,1
tangiwai,1
te roroa,2
aerie,1
akane,1
amaia,1
aorere,1
areaiiti,1
atau,1
eke,1
epi,1
haimona,1
hariri,1
hei tiki,2
honoraria,1
horo,1
hukarere,1
hutu,1
i hope he,3
in-one,1
inane,1
kaki,1
kaniere,1
karawana,1
karina,1
karu,1
kaukau,1
kaweku,1
keira,1
kimono,1
konia,1
konui,1
kotare,1
mahinerangi,1
mana maori,2
manapouri to te anau,4
mangamahoe,1
mangaorapa,1
mangaroa,1
mani,1
manihere,1
mapua,1
marahau,1
maroni,1
matinee,1
matipo,1
matukituki,1
mautua,1
meeanee,1
meremere,1
meringue,1
mingo,1
moeke,1
moera,1
mune,1
muru,1
ngaia,1
ngati kahungunu ki wairarapa,4
ngati kuia,2
ngatitoa,1
ngoho,1
ngongotaha,1
niro,1
okaka,1
oke,1
onewhero,1
ota,1
otaku,1
otautahi,1
otematata,1
otorohanga,1
panguru,1
paramore,1
