rank,word,freq,normalised_per_10000_words
610,#mahurumaori,143,1
610,kui,143,1
610,pakeha,143,1
610,paku,143,1
610,pirangi,143,1
610,tipuna,143,1
616,inanahi,142,1
616,tari,142,1
616,wera,142,1
619,pani,141,1
619,whakaako,141,1
621,apanui,140,1
621,mena,140,1
621,parakuihi,140,1
621,raru,140,1
621,wani,140,1
626,#akoe2013,139,1
626,hahaha,139,1
626,ngeru,139,1
626,nōku,139,1
626,ranei,139,1
631,pōti,138,1
631,tina,138,1
631,tēna,138,1
631,waewae,138,1
631,whero,138,1
636,d,137,1
636,wawata,137,1
638,kaikōrero,136,1
639,#ulearn14,135,1
639,hehe,135,1
639,hone,135,1
639,rorohiko,135,1
639,rātau,135,1
639,tohunga,135,1
639,upoko,135,1
646,#tereomāori,134,1
646,koi,134,1
648,mama,133,1
648,ākonga,133,1
650,from,132,1
650,pēwhea,132,1
650,wahi,132,1
653,#kupumāori,131,1
653,arohatia,131,1
653,rapu,131,1
653,taiao,131,1
653,whakamārama,131,1
658,whakatū,130,1
659,#matariki,129,1
659,whārangi,129,1
661,#reomaori,128,1
661,#tematatini2015,128,1
661,rerekē,128,1
661,rongonui,128,1
661,tokerau,128,1
661,tumeke,128,1
661,tūhoe,128,1
661,whakaora,128,1
661,ērā,128,1
670,awhina,127,1
670,rautaki,127,1
670,taketake,127,1
670,tūturu,127,1
674,5,126,1
674,hapu,126,1
674,ranginui,126,1
677,hōhā,125,1
677,kōrerotia,125,1
677,whetū,125,1
680,#maorilanguageweek,124,1
680,#tereomaori,124,1
680,manuhiri,124,1
680,matauranga,124,1
680,poho,124,1
680,tara,124,1
686,kaitiaki,123,1
686,maranga,123,1
686,poneke,123,1
686,whanui,123,1
690,4,122,1
690,akona,122,1
690,mauriora,122,1
690,piri,122,1
694,hararei,121,1
694,maioha,121,1
694,tupu,121,1
694,whakawhiti,121,1
698,kete,120,1
698,toki,120,1
698,tuhoe,120,1
701,akomanga,119,1
701,minita,119,1
701,rāmere,119,1
701,rātapu,119,1
701,tatari,119,1
701,waru,119,1
701,whakaaturanga,119,1
708,#homeofhaka,118,1
708,#uako16,118,1
708,awhi,118,1
708,hiwa,118,1
708,kahore,118,1
708,mahue,118,1
708,mauao,118,1
708,toe,118,1
708,wahanga,118,1
708,whakatika,118,1
708,whiua,118,1
708,whā,118,1
708,whāia,118,1
721,kiaora,117,1
721,kirikiriroa,117,1
721,kā,117,1
721,kākahu,117,1
721,maramataka,117,1
721,ono,117,1
721,patu,117,1
721,teitei,117,1
729,aho,116,1
729,pūtea,116,1
729,tākaro,116,1
729,whakahaere,116,1
729,ānei,116,1
734,#arohatiatereo,115,1
734,ona,115,1
734,our,115,1
734,waititi,115,1
738,2013,114,1
738,2015,114,1
738,kohanga,114,1
738,pahi,114,1
738,taura,114,1
738,tokomaha,114,1
738,wehe,114,1
738,whakapakari,114,1
746,mataatua,113,1
746,mārika,113,1
746,rourou,113,1
746,tutuki,113,1
746,whanganui-a-tara,113,1
751,are,112,1
751,hā,112,1
751,maku,112,1
751,maniapoto,112,1
751,tangaroa,112,1
751,tīpuna,112,1
751,waha,112,1
751,ē,112,1
759,hāngai,111,1
759,whakaari,111,1
761,hotaka,110,1
761,mokemoke,110,1
761,pakaru,110,1
761,pukamata,110,1
765,koina,109,1
765,maa,109,1
765,manako,109,1
768,kingi,108,1
768,mōku,108,1
768,pouaka,108,1
768,pūkenga,108,1
768,rerehua,108,1
768,whiri,108,1
774,koinā,107,1
774,tuatoru,107,1
776,n,106,1
776,pito,106,1
776,rangatiratanga,106,1
776,tuhia,106,1
780,#gafesummit,105,1
780,haki,105,1
780,hara,105,1
780,poi,105,1
780,tuhituhi,105,1
785,#tewikiotereo,104,1
785,hokona,104,1
785,love,104,1
785,nāku,104,1
789,cuz,103,1
789,kahu,103,1
789,mita,103,1
789,pīrangi,103,1
789,tīma,103,1
789,whakaatu,103,1
795,aitua,102,1
795,ataata,102,1
795,atamarie,102,1
795,haumaru,102,1
795,hāpai,102,1
795,whiringa,102,1
801,#ulearn16,101,1
801,ururoa,101,1
801,wha,101,1
801,whetu,101,1
805,#tuahiwi,100,1
805,taone,100,1
805,waenganui,100,1
805,whatunga,100,1
809,#maoritv,99,1
809,2016,99,1
809,pānuihia,99,1
809,pūmanawa,99,1
809,tui,99,1
814,2017,98,1
814,hoe,98,1
814,okioki,98,1
814,pūrongo,98,1
814,raukawa,98,1
814,tunu,98,1
820,dr,97,1
820,kiwa,97,1
820,pūkana,97,1
820,tuia,97,1
820,wātea,97,1
825,hoi,96,1
825,kiri,96,1
825,koretake,96,1
825,kāti,96,1
825,māuiui,96,1
825,pāti,96,1
825,rangimarie,96,1
825,ētehi,96,1
833,2014,95,1
833,karaehe,95,1
833,koha,95,1
833,matakitaki,95,1
833,matihiko,95,1
833,up,95,1
839,ngunguru,94,1
839,tiki,94,1
839,whakangungu,94,1
842,#kapahaka,93,1
842,miro,93,1
842,ngāpuhi,93,1
842,rō,93,1
842,tihei,93,1
842,tēia,93,1
842,whakamana,93,1
849,tira,92,1
849,tukutuku,92,1
851,#akoe14,91,1
851,ahu,91,1
851,ha,91,1
851,koroua,91,1
851,kōhanga,91,1
851,manahau,91,1
851,nāna,91,1
851,otirā,91,1
851,rārangi,91,1
851,tī,91,1
861,10,90,1
861,kapu,90,1
861,kotiro,90,1
861,moemoeā,90,1
861,ngahere,90,1
861,rata,90,1
861,uta,90,1
861,wao,90,1
861,whaia,90,1
861,whitu,90,1
871,ea,89,1
871,hapa,89,1
871,kanikani,89,1
871,ngēnei,89,1
871,ratau,89,1
871,tku,89,1
871,tuturu,89,1
878,2011,88,1
878,kaumātua,88,1
878,māui,88,1
878,news,88,1
878,rangona,88,1
883,#tekāea,87,1
883,7,87,1
883,koira,87,1
883,or,87,1
883,whakarauora,87,1
888,6,86,1
888,chur,86,1
888,ihi,86,1
888,kaiwaiata,86,1
888,kapua,86,1
888,moumou,86,1
888,nāu,86,1
888,rakau,86,1
888,tokorua,86,1
888,ākuanei,86,1
898,#werotīhau,85,1
898,airani,85,1
898,aww,85,1
898,kawa,85,1
898,kawea,85,1
898,moemoea,85,1
898,ngahau,85,1
898,so,85,1
898,tutaki,85,1
898,tweet,85,1
898,whakatauki,85,1
909,all,84,1
909,awau,84,1
909,inapō,84,1
909,kitenga,84,1
909,rongoā,84,1
909,tihi,84,1
909,totara,84,1
909,whakairo,84,1
917,amerika,83,1
917,iwa,83,1
917,kaare,83,1
917,kapahaka,83,1
917,karauna,83,1
917,kuri,83,1
917,piko,83,1
917,rāhoroi,83,1
917,tairawhiti,83,1
917,tohutō,83,1
917,tākuta,83,1
917,whakamahia,83,1
917,whiu,83,1
930,1030am,82,1
930,ahurei,82,1
930,atawhai,82,1
930,henare,82,1
930,kati,82,1
930,kāo,82,1
930,more,82,1
930,mātakina,82,1
930,parata,82,1
930,tawhito,82,1
930,today,82,1
930,tuatua,82,1
930,tvnz1,82,1
930,whakamua,82,1
944,arohamai,81,1
944,kāhui,81,1
944,moni,81,1
944,mou,81,1
944,patua,81,1
944,pepeha,81,1
944,tātai,81,1
944,whakataukī,81,1
944,ēngari,81,1
953,#wikireomaori,80,1
953,airihi,80,1
953,be,80,1
953,hoani,80,1
953,huarere,80,1
953,ngō,80,1
953,paati,80,1
953,raukura,80,1
953,your,80,1
962,2018,79,1
962,akonga,79,1
962,herenga,79,1
962,kōnei,79,1
962,pepi,79,1
962,rahi,79,1
962,rūnanga,79,1
962,tiakina,79,1
962,tāria,79,1
971,hiakai,78,1
971,kairangi,78,1
971,māia,78,1
971,parekura,78,1
971,pouako,78,1
971,toro,78,1
971,w,78,1
971,waipareira,78,1
971,we,78,1
971,whakamā,78,1
971,whakaputa,78,1
971,whakatairanga,78,1
983,congratulations,77,1
983,haora,77,1
983,mataara,77,1
983,matatau,77,1
983,r,77,1
983,rāhina,77,1
983,waenga,77,1
983,whakahoki,77,1
983,whakamīharo,77,1
983,whakapau,77,1
983,wharekai,77,1
994,by,76,1
994,great,76,1
994,katakata,76,1
994,language,76,1
994,mema,76,1
994,pakari,76,1
994,pōwhiri,76,1
994,reipa,76,1
994,taumaha,76,1
994,tkkm,76,1
1004,ahitereiria,75,1
1004,nuku,75,1
1004,pera,75,1
1004,puhi,75,1
1004,tupato,75,1
1004,tūpato,75,1
1010,hana,74,1
1010,hoatu,74,1
1010,māngai,74,1
1010,neke,74,1
1010,ngaku,74,1
1010,tairāwhiti,74,1
1010,timatanga,74,1
1010,whatu,74,1
1018,#kaupapa,73,1
1018,#wikireomāori,73,1
1018,hiki,73,1
1018,hoha,73,1
1018,hokianga,73,1
1018,hāere,73,1
1018,moata,73,1
1018,rererangi,73,1
1018,tīmatanga,73,1
1018,waa,73,1
1028,#ngaitahu,72,1
1028,ahuatanga,72,1
1028,akuanei,72,1
1028,go,72,1
1028,hato,72,1
1028,hora,72,1
1028,hī,72,1
1028,kaumatua,72,1
1028,kaunihera,72,1
1028,kawanatanga,72,1
1028,kiwi,72,1
1028,ohorere,72,1
1028,paremata,72,1
1028,pukenga,72,1
1028,putiputi,72,1
1028,taputapu,72,1
1028,teenei,72,1
1028,tumuaki,72,1
1046,arero,71,1
1046,kuki,71,1
1046,pita,71,1
1046,pāremata,71,1
1046,raumati,71,1
1046,whakahokia,71,1
1046,whakatāne,71,1
1046,ōrite,71,1
1054,#niupepa,70,1
1054,#nz,70,1
1054,aunty,70,1
1054,huka,70,1
1054,its,70,1
1054,kaiwhakahaere,70,1
1054,kīngi,70,1
1054,pao,70,1
1054,rāpare,70,1
1054,tāone,70,1
1054,well,70,1
1054,whakamāori,70,1
1054,whanga,70,1
1067,awheawhe,69,1
1067,hapai,69,1
1067,hi,69,1
1067,matapaki,69,1
1067,ngaru,69,1
1067,toka,69,1
1067,tungāne,69,1
1074,#taurangamoana,68,1
1074,anga,68,1
1074,huna,68,1
1074,kemu,68,1
1074,ngana,68,1
1074,tamati,68,1
1074,tna,68,1
1074,wow,68,1
1082,#tikanga,67,1
1082,ataarangi,67,1
1082,hākinakina,67,1
1082,just,67,1
1082,kaea,67,1
1082,kōtiro,67,1
1082,mataku,67,1
1082,mean,67,1
1082,māra,67,1
1082,not,67,1
1082,otira,67,1
1082,ruha,67,1
1082,whakaiti,67,1
1082,whati,67,1
1096,#kirikiti,66,1
1096,2019,66,1
1096,happy,66,1
1096,kaitautoko,66,1
1096,mauria,66,1
1096,nz,66,1
1096,paetukutuku,66,1
1096,taki,66,1
1096,that,66,1
1096,tuna,66,1
1096,waipounamu,66,1
1096,whakapā,66,1
1108,#kīwaha,65,1
1108,#tekaea,65,1
1108,#trotk2016,65,1
1108,heihei,65,1
1108,hikurangi,65,1
1108,inoi,65,1
1108,kauhau,65,1
1108,makawe,65,1
1108,māreikura,65,1
1108,otautahi,65,1
1108,out,65,1
1108,pewhea,65,1
1108,pēnā,65,1
1108,thanks,65,1
1108,uiui,65,1
1108,zealand,65,1
1124,aoife,64,1
1124,huinga,64,1
1124,keke,64,1
1124,kuare,64,1
1124,ngapuhi,64,1
1124,pāpāho,64,1
1124,raki,64,1
1124,tohutohu,64,1
1124,whakaeke,64,1
1124,whakangahau,64,1
1134,#1mirionatihau,63,1
1134,#waiata,63,1
1134,akiaki,63,1
1134,hiku,63,1
1134,honore,63,1
1134,horopaki,63,1
1134,karu,63,1
1134,kāi,63,1
1134,marea,63,1
1134,mei,63,1
1134,mē,63,1
1134,nama,63,1
1134,now,63,1
1134,pōhēhē,63,1
1134,tipua,63,1
1134,wikitoria,63,1
1150,#kiakahatereomāori,62,1
1150,#wairaumāori,62,1
1150,#whānau,62,1
1150,amine,62,1
1150,aranga,62,1
1150,mareikura,62,1
1150,mauiui,62,1
1150,nanakia,62,1
1150,papakupu,62,1
1150,pukana,62,1
1150,pānuitia,62,1
1150,school,62,1
1150,taitokerau,62,1
1150,takitahi,62,1
1150,tungane,62,1
1150,tōrangapū,62,1
1150,whakapae,62,1
1167,haruru,61,1
1167,john,61,1
1167,kererū,61,1
1167,kīanga,61,1
1167,kūkara,61,1
1167,matenga,61,1
1167,mine,61,1
1167,pire,61,1
1167,pukumahi,61,1
1167,pīwari,61,1
1167,reta,61,1
1167,rū,61,1
1167,tauiwi,61,1
1167,taupānga,61,1
1167,tnei,61,1
1167,waahi,61,1
1167,whakaue,61,1
1184,#1miriona,60,1
1184,#reomāori,60,1
1184,#tewiki13,60,1
1184,#tweetpic,60,1
1184,apataki,60,1
1184,aromatawai,60,1
1184,harakeke,60,1
1184,ngata,60,1
1184,ngātahi,60,1
1184,para,60,1
1184,putea,60,1
1184,tn,60,1
1184,waatea,60,1
1184,wana,60,1
1184,week,60,1
1184,whāinga,60,1
1184,whītiki,60,1
1201,#ako,59,1
1201,#cenz14,59,1
1201,ahorangi,59,1
1201,aka,59,1
1201,as,59,1
1201,hāhi,59,1
1201,korokoro,59,1
1201,mahere,59,1
1201,oro,59,1
1201,pōtiki,59,1
1201,raruraru,59,1
1201,reanga,59,1
1201,roanga,59,1
1201,rori,59,1
1201,waipiro,59,1
1201,wheke,59,1
1217,#ngātohu,58,1
1217,#tematatini2019,58,1
1217,aa,58,1
1217,aituā,58,1
1217,aronga,58,1
1217,kumara,58,1
1217,manaakitia,58,1
1217,marino,58,1
1217,ope,58,1
1217,pāho,58,1
1217,roro,58,1
1217,taenga,58,1
1217,tame,58,1
1217,tēra,58,1
1217,waitaha,58,1
1217,warewaretia,58,1
1233,#mahi,57,1
1233,#tīhau,57,1
1233,#whanau,57,1
1233,530pm,57,1
1233,atamira,57,1
1233,fm,57,1
1233,hemo,57,1
1233,hope,57,1
1233,horoi,57,1
1233,hurihuri,57,1
1233,kaikiri,57,1
1233,korowai,57,1
1233,mangai,57,1
1233,mataora,57,1
1233,ngutu,57,1
1233,pakihi,57,1
1233,papatuanuku,57,1
1233,ruia,57,1
1233,rāhui,57,1
1233,tautokohia,57,1
1233,toto,57,1
1233,whakauru,57,1
1233,whakawhetai,57,1
1233,xo,57,1
1233,āwangawanga,57,1
1258,#matarikix,56,1
1258,#mauriora,56,1
1258,#whakataukī,56,1
1258,black,56,1
1258,chief,56,1
1258,hiko,56,1
1258,kūare,56,1
1258,mako,56,1
1258,maurea,56,1
1258,meinga,56,1
1258,taihoa,56,1
1258,takahi,56,1
1258,welcome,56,1
1258,whakaritea,56,1
1258,wharangi,56,1
1258,whāngai,56,1
1258,āhea,56,1
1275,#kurareo,55,1
1275,era,55,1
1275,good,55,1
1275,kākāriki,55,1
1275,mere,55,1
1275,miraka,55,1
1275,nanny,55,1
1275,pepa,55,1
1275,reri,55,1
1275,waihanga,55,1
1275,whakaritenga,55,1
1286,#māoritv,54,1
1286,#tmkt15,54,1
1286,8,54,1
1286,hiamoe,54,1
1286,ihowa,54,1
1286,kaituhi,54,1
1286,kotahitanga,54,1
1286,kuini,54,1
1286,kāhore,54,1
1286,morehu,54,1
1286,ngau,54,1
1286,peka,54,1
1286,pārekareka,54,1
1286,tahuri,54,1
1286,tangihanga,54,1
1286,tohumarau,54,1
1286,tūru,54,1
1286,whakahē,54,1
1304,erangi,53,1
1304,haumi,53,1
1304,ira,53,1
1304,kaikorero,53,1
1304,kamupene,53,1
1304,kaukau,53,1
1304,niho,53,1
1304,poroporoaki,53,1
1304,rāapa,53,1
1304,tamāhine,53,1
1304,tuitui,53,1
1304,tuwhera,53,1
1304,tōtara,53,1
1304,whakaharatau,53,1
1304,whakamōhio,53,1
